,age,discordid,minecraftid,client,version
48,14.0,Vedansh#8311,Vedansh275,Computer ( Java Edition ),Cracked
49,17.0,@Wow Tek#2632,wow_tek,Computer ( Java Edition ),Cracked
50,13.0,@VeNoM#5398,ItsVenom1912,Computer ( Java Edition ),Cracked
51,15.0,@MIHIR#OOOO,TenBlazer123417,Mobile ( bedrock version ),Cracked
52,17.0,Kriyan#3740,Kriyan,Computer ( Java Edition ),Cracked
53,16.0,DMR KRATOS#0658,DMR_KRATOS,Computer ( Java Edition ),Paid Version
54,17.0,kathan#1970,kathanparikh,Mobile ( bedrock version ),Paid Version
55,15.0,MrAugster#5935,mraugster,Computer ( Java Edition ),Cracked
56,14.0,MSRG GAMING#8935,Amogh02,Computer ( Java Edition ),Cracked
57,24.0,@Chrome#7013,TheAquaGaming,Computer ( Java Edition ),Cracked
58,17.0,Harshal chavan#2394,Harshal6,Computer ( Java Edition ),Cracked
59,18.0,Strange X Memes#8681,MasterBubble843,Mobile ( bedrock version ),Paid Version
60,17.0,@Tushar Plays #4391,OPtushar,Computer ( Java Edition ),Cracked
61,17.0,Crazun gaming 542 #6622,Crazungaming542,Mobile ( bedrock version ),Cracked
62,15.0,SHAURYA#5315,SHAURYACHANDAK,Computer ( Java Edition ),Cracked
63,17.0,3D gamers #8339,Lucifer5542j,Computer ( Java Edition ),Cracked
64,20.0,𝙏𝙀𝙎𝙇𝘼⚡#9072,UltraTesla3451,Mobile ( bedrock version ),Cracked
65,18.0,Creavor #9198,Creavorgaming,Computer ( Java Edition ),Cracked
66,15.0,@Evoke#5915,BEASTYGAMERZ,Mobile ( bedrock version ),Cracked
67,15.0,@lion muffu#9444,MUFADDAL345,Computer ( Java Edition ),Cracked
68,16.0,Gamer Akshay#8012,GamerAkshay,Computer ( Java Edition ),Cracked
69,18.0,@Xion.Gravity#8840,GravityFx28,Mobile ( bedrock version ),Cracked
70,21.0,Shivi-Sama#7777,ShonaKandi,Computer ( Java Edition ),Paid Version
71,14.0,PPR GAMING,PPRGAMING28,Computer ( Java Edition ),Cracked
72,17.0,Berojgari duniya#5985,Berojgariduniya,Computer ( Java Edition ),Cracked
73,16.0,@MatrixMoksh#9977,Moksh_06,Computer ( Java Edition ),Cracked
74,16.0,Rudstheboss#6539,Player043221019,Mobile ( bedrock version ),Paid Version
75,16.0,Zenitsu Agatsuma #5813,StormyChand,Computer ( Java Edition ),Paid Version
76,21.0,AKGAMINGYT#2141,AAYUSHKADAM,Mobile ( bedrock version ),Cracked
77,13.0,Darshak Gami,Steve,Mobile ( bedrock version ),Cracked
78,17.0,@Arya Vithalani#5396,ary_04,Computer ( Java Edition ),Cracked
79,19.0,HARSHIT_FF,Bracedyapper 420,Mobile ( bedrock version ),Paid Version
80,21.0,Abdullah AKA Cruiser#0514,_TheCruiserYT_,Computer ( Java Edition ),Cracked
81,14.0,AdarshAD-08#7646,N8Pike,Computer ( Java Edition ),Paid Version
82,14.0,Kaitokid#8916,Dhurv3294,Mobile ( bedrock version ),Cracked
83,22.0,@Askull#4699,Ayushskull,Computer ( Java Edition ),Paid Version
84,17.0,FAKE HUMAN 🖤 #4630,Pro_tanu_gmear,Computer ( Java Edition ),Cracked
85,18.0,Aryan181#7674,Aryan_181,Computer ( Java Edition ),Cracked
86,16.0,$ Money#0379,YodaUwU,Computer ( Java Edition ),Paid Version
87,18.0,Aryan181#7674,Aryan_181,Computer ( Java Edition ),Cracked
88,1.0,NishilG#0681,NishilG,Computer ( Java Edition ),Cracked
89,16.0,Saurabh#0067,Parababu3,Mobile ( bedrock version ),Cracked
90,15.0,TheHarshuGames#6430,TheHarshu,Computer ( Java Edition ),Cracked
91,17.0,@Chaitanya#1188,Chaitanya9758,Mobile ( bedrock version ),Cracked
92,18.0,BOSS#5644,satyam123boss,Computer ( Java Edition ),Cracked
93,20.0,ᑕᖇᑎ 〢 ๖ۣۜTรgNΐรђΐt  #4649,TsgNishit,Computer ( Java Edition ),Cracked
94,17.0,@memester5555#7571,Memester5555,Computer ( Java Edition ),Cracked
95,16.0,☆Ğanğstã_Věđ_Øp☆#5010,gangstaved,Computer ( Java Edition ),Cracked
96,15.0,GHODAOP69,MINE_SOUL,Mobile ( bedrock version ),Paid Version
97,2.0,Sabynation#3234,Sabynation,Computer ( Java Edition ),Cracked
98,16.0,☆Ğanğstã_Věđ_Øp☆#5010,gangstaved,Computer ( Java Edition ),Cracked
99,2.0,KSHITIJ WORLD OFFICIAL#3921,KSHITIJWORLD,Computer ( Java Edition ),Cracked
100,15.0,Sakar Mishra #1954,dygartal gaming,Computer ( Java Edition ),Cracked
101,15.0,NIX#5682,Nix_007,Computer ( Java Edition ),Cracked
102,23.0,Gyaan sharma#8528,Steve,Mobile ( bedrock version ),Cracked
103,16.0,Mr.Devil#3173,SKDevilboy10,Computer ( Java Edition ),Cracked
104,15.0,Adi2021#5028,Aditya,Computer ( Java Edition ),Cracked
105,15.0,(@VenAresGamer#6778),LOLPewds,Computer ( Java Edition ),Cracked
106,17.0,prakul#2965,prakul1982,Computer ( Java Edition ),Cracked
107,15.0,IamAditya#9670,iamadityab,Computer ( Java Edition ),Cracked
108,16.0,Savage Squad #1740,CosmicHunter24,Computer ( Java Edition ),Cracked
109,20.0,Punyakrit#5701,Anoop22,Computer ( Java Edition ),Cracked
110,17.0,FAKE HUMAN 🖤#4630,Pro_tanu_gmear,Computer ( Java Edition ),Cracked
111,15.0,RapidlLeaderOPAlwaysOP#8494,aryanop,Computer ( Java Edition ),Cracked
112,15.0,NotDarsh#3872,DarshPlays,Computer ( Java Edition ),Cracked
113,18.0,Aryan181#7674,domenecfc,Computer ( Java Edition ),Paid Version
114,14.0,NishilG#0681,NishilG,Computer ( Java Edition ),Cracked
115,16.0,Parth Oza#9166,MSD,Computer ( Java Edition ),Cracked
116,22.0,Steven Strange #9798,dragonboy432165,Mobile ( bedrock version ),Cracked
117,16.0,ASN_ELANGO6154,elango,Computer ( Java Edition ),Cracked
118,22.0,RenVirus#9335,DZ REN L,Mobile ( bedrock version ),Cracked
119,17.0,Nikhil#8914,Godxyt03,Computer ( Java Edition ),Cracked
120,18.0,Satyam Patel#2558 ,Gujjugamer22 ,Mobile ( bedrock version ),Cracked
121,17.0,Zacksman#6127,Zacksman08,Computer ( Java Edition ),Cracked
122,16.0,ASN_ELANGO6154,elango,Computer ( Java Edition ),Cracked
123,20.0,@EžŃightmare#3821,Nightmare007449,Mobile ( bedrock version ),Cracked
124,18.0,@Soulslayer Ayush#1992 ,Ayush19907,Computer ( Java Edition ),Cracked
125,17.0,PacifistJACK#3301,RippeJack5625,Mobile ( bedrock version ),Cracked
126,18.0,@TECHNOKUSHAL#2690,TechnoKushal610,Mobile ( bedrock version ),Paid Version
127,20.0,Mr. Fan,☆Harsh L,Mobile ( bedrock version ),Cracked
128,15.0,@Proknit gaming#5441,roboboy1724,Mobile ( bedrock version ),Paid Version
129,15.0,RAPTORIZERGAMING#4645,NOT_RAPTOR,Computer ( Java Edition ),Cracked
130,14.0,Aineshgaming#8437,aineshgaming,Computer ( Java Edition ),Paid Version
131,23.0,ΣƧC  ᐈ FROZEN KING#6871,frozenKING7782,Computer ( Java Edition ),Cracked
132,14.0,Ayushman#9925,Ayushman6661,Mobile ( bedrock version ),Cracked
133,15.0,@youtuber jinda hai😈😈#7432,Youtubers,Mobile ( bedrock version ),Cracked
134,14.0,PRAT#8725,PRAT,Computer ( Java Edition ),Cracked
135,16.0,Laksh#1436,Laksh718,Computer ( Java Edition ),Cracked
136,17.0,@SuperCrazy#1820,Crazy0073301,Computer ( Java Edition ),Cracked
137,17.0,Vishwas07#3014,Vishwasbruhhh,Computer ( Java Edition ),Paid Version
138,18.0,Khushal♠🎭#8850,Khushal222,Mobile ( bedrock version ),Cracked
139,17.0,@Mr.Savage-boii#2022,HearingQuasar98 ,Mobile ( bedrock version ),Cracked
140,16.0,OG Light#2951,LIGHTISOP (username is in caps ),Computer ( Java Edition ),Paid Version
141,13.0,MR DVV#7891,MRDVV2009,Computer ( Java Edition ),Cracked
142,22.0,oxe bot,prajitlandge9689,Computer ( Java Edition ),Cracked
143,15.0,IamAditya#9670,Popetobin,Computer ( Java Edition ),Paid Version
144,16.0,MrChicken YT#7896,mrchickenproo,Computer ( Java Edition ),Cracked
145,17.0,Heramb,hero2510,Computer ( Java Edition ),Cracked
146,18.0,@DRAGOLICSOUL#3850,DRAGOLIC_SOUL,Computer ( Java Edition ),Cracked
147,14.0,legend08,Leo1808,Computer ( Java Edition ),Cracked
148,15.0,JOY#3872,FJOYF,Computer ( Java Edition ),Cracked
149,14.0,Creeper#8600,Dream5945,Mobile ( bedrock version ),Cracked
150,15.0,MADMAX,MADMAX9354,Mobile ( bedrock version ),Paid Version
151,13.0,kartik#1663,CasePl,Mobile ( bedrock version ),Cracked
152,15.0,pratham Solanki#6774,Silentkille5052,Mobile ( bedrock version ),Cracked
153,15.0,Peteroidgamon123,PeteroidGaming,Computer ( Java Edition ),Cracked
154,14.0,Naitik Shetty#0823,Naitik_Shetty,Computer ( Java Edition ),Cracked
155,14.0,#1833,Raghavarya,Computer ( Java Edition ),Cracked
156,15.0,Manthan#1234,RoamingCafe69,Mobile ( bedrock version ),Cracked
157,14.0,! m Devansh,TpdClown_,Computer ( Java Edition ),Paid Version
158,14.0,#1489,Banku,Computer ( Java Edition ),Cracked
159,18.0,KunshGamer#9292,KunshGamer,Computer ( Java Edition ),Paid Version
160,17.0,devendra#8116,programerd,Computer ( Java Edition ),Cracked
161,14.0,Tanush#6188,Tanushwarrior,Computer ( Java Edition ),Cracked
162,17.0,BeastcanPVP#5048,BeasTBoii1826,Computer ( Java Edition ),Cracked
163,16.0,rudranshplayzeverything#9793,RudranshPlayz,Mobile ( bedrock version ),Paid Version
164,17.0,Aman Chauhan#6288,Amanchan06,Mobile ( bedrock version ),Cracked
165,15.0,Nexus#1540,PowerMan_2,Computer ( Java Edition ),Cracked
166,15.0,Vetroz#4902,oysterbank,Computer ( Java Edition ),Paid Version
167,14.0,Jaskirat Singh#5101,Jaskirat_gamer,Computer ( Java Edition ),Cracked
168,22.0,Kanishk,Pewdi,Computer ( Java Edition ),Cracked
169,25.0,Avi#2086,Avi-soni,Computer ( Java Edition ),Cracked
170,17.0,oak123#0607,TheminecraftPros,Computer ( Java Edition ),Cracked
171,15.0,The Extremee#7534,EX_GAMERS,Computer ( Java Edition ),Cracked
172,23.0,KryWiz®#0069,Kry_Wiz,Computer ( Java Edition ),Paid Version
173,25.0,Avi#2086,Avi-soni,Computer ( Java Edition ),Cracked
174,14.0,suhaslegend#7590,boiiisth,Computer ( Java Edition ),Cracked
175,14.0,Gamer Prad#2215,MCPEMOBFANN,Computer ( Java Edition ),Cracked
176,17.0,spraykingyt#0568,Spraykingyt06,Computer ( Java Edition ),Cracked
177,14.0,@dhairyajain#3400,Dhairyajain998798,Mobile ( bedrock version ),Cracked
178,17.0,@krishrajput#1971,SailedCookie453,Mobile ( bedrock version ),Cracked
179,15.0,Mr.K#7027,ProPython,Computer ( Java Edition ),Cracked
180,15.0,#0222,DangerDUA12127 ,Mobile ( bedrock version ),Cracked
181,1.0,ABPlAYS#9319,ABPLAYZ25,Computer ( Java Edition ),Paid Version
182,17.0,@Aloke kumar sah#1402,imAloke,Computer ( Java Edition ),Cracked
183,15.0,MADMAX#1234,MADMAX9254,Mobile ( bedrock version ),Paid Version
184,22.0,GAMERBOY99#7465,NUMNUMNUM123456,Computer ( Java Edition ),Cracked
185,15.0,MaahiTheGreat#1234,MaahitheGreat,Computer ( Java Edition ),Paid Version
186,17.0,@ӇӃ์δ乛 NAVIN#6319 ,MAIGAREEB ,Mobile ( bedrock version ),Cracked
187,15.0,@Nihalbellad#3863,NIHAKSHAR,Computer ( Java Edition ),Cracked
188,17.0,@ӇӃ์δ乛 NAVIN#6319 ,MAIGAREEB ,Mobile ( bedrock version ),Cracked
189,16.0,@RudranshPlayzEverything#9793,RudranshPlayz,Computer ( Java Edition ),Cracked
190,17.0,@Gautam#8721,Gautam sahu,Computer ( Java Edition ),Cracked
191,14.0,! m Devansh#1471,TpdClown_,Computer ( Java Edition ),Paid Version
192,22.0,joeerito#4730,joeerito,Computer ( Java Edition ),Cracked
193,14.0,triju#7621,triju,Computer ( Java Edition ),Cracked
194,19.0,@PC Editzz#1948,Pravin1114,Mobile ( bedrock version ),Cracked
195,16.0,Hᴀᴛᴋᴇ Gᴀᴍᴇʀᴢ#9457,Hatke_Gamerz,Computer ( Java Edition ),Cracked
196,21.0,ronak#1990,RonakDas,Mobile ( bedrock version ),Paid Version
197,17.0,Archit jain#6796,SlayeR,Computer ( Java Edition ),Cracked
198,2.0,R,Y,Mobile ( bedrock version ),Cracked
199,17.0,A__D_I_T_Y_A#2635,Aditya ,Computer ( Java Edition ),Cracked
200,14.0,Spensor95#3003,ArticShark95,Mobile ( bedrock version ),Cracked
201,18.0,Harshit098 #6638 ,Harshittiwari98 ,Computer ( Java Edition ),Cracked
202,18.0,@Mighty bong #9685,Mighty bera,Computer ( Java Edition ),Cracked
203,15.0,Rutvbhatia#8430,OP RUTV,Mobile ( bedrock version ),Cracked
204,2.0,Peteroidgaming,PeteroidGaming,Computer ( Java Edition ),Cracked
205,18.0,SiDiScRaZy,Yourboob,Computer ( Java Edition ),Cracked
206,24.0,UniqueisLive#3795,UniqueIsLive,Computer ( Java Edition ),Paid Version
207,19.0,Croc3LL#6030,Croc3LL,Computer ( Java Edition ),Cracked
208,15.0,-Vella 〢 GC Mehul#3785,Mehul9224,Mobile ( bedrock version ),Cracked
209,16.0,ba | SPARKYY#1721,sparkygh,Computer ( Java Edition ),Cracked
210,20.0,MonsterDWX#7845,MonsterDWX,Computer ( Java Edition ),Cracked
211,15.0,kanishk,Pewdi,Computer ( Java Edition ),Cracked
212,20.0,Cmrocky gamerz #1676,Cmrocky08,Mobile ( bedrock version ),Cracked
213,17.0,@ӇӃ์δ乛 NAVIN#6319 ,MAIGAREEB ,Mobile ( bedrock version ),Cracked
214,15.0,@HAHAGAMER#8883,HaHaGaMeR2495,Mobile ( bedrock version ),Paid Version
215,17.0,ASPY OFFICIAL#2274,Ansh3428,Mobile ( bedrock version ),Cracked
216,17.0,ToxicVed Gaming #6092,vedpat,Computer ( Java Edition ),Cracked
217,22.0,@MsYoOff.#2559,StagedMsYo119,Mobile ( bedrock version ),Cracked
218,19.0,shadab ahmed#0186,exahmed680,Computer ( Java Edition ),Cracked
219,13.0,Kirath Bhat#3571,Emerald71192,Mobile ( bedrock version ),Cracked
220,18.0,Fahad#0214,Tedmaster007,Mobile ( bedrock version ),Paid Version
221,15.0,Peteroidgaming123#5876,PeteroidGaming,Computer ( Java Edition ),Cracked
222,17.0,yash123456#8587,yashwarrior,Computer ( Java Edition ),Cracked
223,19.0,#7444,aayush2121,Computer ( Java Edition ),Cracked
224,12.0,ProGaming#2331,progamingyt92,Computer ( Java Edition ),Cracked
225,17.0,vedansh#4749,vedansh_4749,Computer ( Java Edition ),Cracked
226,16.0,@WhiteDevil#9770,Pranav8097,Mobile ( bedrock version ),Paid Version
227,15.0,Nilesh_M#4865,Nilesh123,Computer ( Java Edition ),Cracked
228,18.0,Lucifer MORNING Star#1210,Professor_neon,Computer ( Java Edition ),Cracked
229,14.0,VLT | ThorNautam #5051,ThorNautamYT,Computer ( Java Edition ),Cracked
230,16.0,Adithya#3195,DREAMadit,Computer ( Java Edition ),Cracked
231,17.0,ARMAAN | ℓινє fℓαмє#4694,ARMAANGOIDANI,Computer ( Java Edition ),Cracked
232,15.0,"""the<cyber>side""#5095",thecyberside,Computer ( Java Edition ),Cracked
233,16.0,harshal#4110,harshalking8562,Mobile ( bedrock version ),Paid Version
234,19.0,@sanjeev#6418,Dsk69,Computer ( Java Edition ),Cracked
235,12.0,ProGaming#2331,progamingyt92,Computer ( Java Edition ),Cracked
236,13.0,fear grid#3453,devansh001fg,Computer ( Java Edition ),Cracked
237,18.0,HSP1545#9664,HSP15,Computer ( Java Edition ),Cracked
238,18.0,DadaChan#5965,Dada1717,Computer ( Java Edition ),Cracked
239,17.0,@Toxic Editz#1607,MiniToxicBro2,Mobile ( bedrock version ),Paid Version
240,18.0,Fahad#0214,Fahadmaster007,Computer ( Java Edition ),Cracked
241,16.0,@Arnav_L#9809,Arnav_L,Computer ( Java Edition ),Cracked
242,20.0,@pinak19#6766,pinak19,Computer ( Java Edition ),Cracked
243,16.0,ØĞ. ONLY GAMING#8062,ONLYGAMINGOG,Computer ( Java Edition ),Cracked
244,14.0,XD_KRazZy Gamer#1990,KRazZyGamer12,Computer ( Java Edition ),Cracked
245,18.0,SiDiScRaZy,Yourboob,Computer ( Java Edition ),Cracked
246,15.0,XZanda#8342,Xanda,Computer ( Java Edition ),Cracked
247,12.0,ProGaming#2331,progamingyt92,Computer ( Java Edition ),Cracked
248,12.0,ProGaming#2331,progamingyt92,Computer ( Java Edition ),Cracked
249,17.0,Itz_kavish#5698,Itz kavish,Computer ( Java Edition ),Cracked
250,8.0,Sinova#2770,Sinova07,Computer ( Java Edition ),Cracked
251,16.0,soninesh#1434,neshsoni123,Computer ( Java Edition ),Cracked
252,19.0,Darshan#1134,Darshan,Computer ( Java Edition ),Cracked
253,14.0,DARK NOVA#0395 ,dark_nova_,Computer ( Java Edition ),Cracked
254,19.0,WitBiX#8453,Witbix,Computer ( Java Edition ),Cracked
255,16.0,SHIVAM ANURAGI#9424,shivam28ss,Mobile ( bedrock version ),Paid Version
256,18.0,@cheesebar#7953,Owntoothbrush,Mobile ( bedrock version ),Cracked
257,15.0,Unpluggedcrook#5494,OrangeStar33330,Mobile ( bedrock version ),Cracked
258,17.0,AtBw#4191,_AtBw_,Computer ( Java Edition ),Cracked
259,19.0,Harry styles,Hiidkiller05,Computer ( Java Edition ),Paid Version
260,16.0,gamerboykrish 2.0,FocalSky2563147,Mobile ( bedrock version ),Paid Version
261,19.0,Sanish#3059,Sanish,Computer ( Java Edition ),Cracked
262,14.0,AaryanshPlaysGames#4368,Aaaryansh,Computer ( Java Edition ),Cracked
263,19.0,Harry styles,Hiidkiller05,Computer ( Java Edition ),Paid Version
264,15.0,@itʂนdaץ🔥👽#0655,ClutcheR_VenoM ,Computer ( Java Edition ),Paid Version
265,17.0,siddhant#2389,SIDDHANTT,Computer ( Java Edition ),Paid Version
266,23.0,Hu,I need money but I not play game sir please I need phken phon,Mobile ( bedrock version ),Cracked
267,17.0,SiDiScRaZy#9350,Yourboob,Computer ( Java Edition ),Cracked
268,20.0,HyPed gaming#0991,hypedgaming,Computer ( Java Edition ),Cracked
269,16.0,𝕐𝕥+𝕋𝕠𝕕𝕡𝕝𝕠𝕘𝕒𝕞𝕚𝕟𝕘#2590,Todplo2828r,Mobile ( bedrock version ),Cracked
270,15.0,pashva_warrior,pashva_warrior,Computer ( Java Edition ),Cracked
271,17.0,@Alpha03#7405,nsmurarka03,Computer ( Java Edition ),Cracked
272,16.0,Shreyash Aka God X Pro#5883,Errixx_GodXYt,Computer ( Java Edition ),Paid Version
273,16.0,@Rudra Ranipa#3623,RudyMineOP,Computer ( Java Edition ),Cracked
274,19.0,@Asmit <3#3500,Etirnox,Computer ( Java Edition ),Cracked
275,15.0,Jay goyal#3625,Itzzjay1233,Mobile ( bedrock version ),Cracked
276,14.0,Aineshgaming#8437,aineshgaming,Computer ( Java Edition ),Paid Version
277,14.0,「𝐌𝐗」么 RTofficial#7753,RTofficial80,Computer ( Java Edition ),Paid Version
278,16.0,The Strange Gamer #2724,TheStrangeGamer,Computer ( Java Edition ),Cracked
279,17.0,auralegend,auralegend,Computer ( Java Edition ),Cracked
280,17.0,CeepGeep,ceepgeep,Computer ( Java Edition ),Cracked
281,14.0,@Agamya is gaming#6331,Agamya27,Computer ( Java Edition ),Cracked
282,1.0,@Aadil#7295,Franky_gamer,Computer ( Java Edition ),Cracked
283,16.0,Khiladi01#2560,arnav50,Computer ( Java Edition ),Cracked
284,17.0,@HastaG Smith #6994,Hastag Smith,Mobile ( bedrock version ),Paid Version
285,13.0,Sam the boi#3846,Samarth9907,Computer ( Java Edition ),Cracked
286,16.0,WARRIOR NITYAM #6087,Nityam123,Computer ( Java Edition ),Cracked
287,15.0,GamerKrushna#4119,GamerKrushna,Mobile ( bedrock version ),Paid Version
288,22.0,James Bord#1454,CrustyCrowd,Computer ( Java Edition ),Paid Version
289,14.0,DARSHNINJA#6008,DARSHRARIN1 ,Mobile ( bedrock version ),Cracked
290,17.0,shivamkumra#7717,GCBROS6997,Mobile ( bedrock version ),Paid Version
291,16.0,Kurama Sage mode #0688,AishnavdontCare,Computer ( Java Edition ),Cracked
292,21.0,@Axee#7253,Axe wolfe,Mobile ( bedrock version ),Cracked
293,19.0,kushu#8713,Hydrated5kate80,Computer ( Java Edition ),Paid Version
294,1.0,Smit#3717,Smit_gurav,Computer ( Java Edition ),Cracked
295,16.0,@Karex#8688,atif,Computer ( Java Edition ),Paid Version
296,22.0,Susanth#9157,susanth6714,Computer ( Java Edition ),Cracked
297,16.0,@AAKARSH#5625,AAKARSH,Computer ( Java Edition ),Cracked
298,17.0,Animesh Gupta#4364,AnimeshG,Computer ( Java Edition ),Cracked
299,16.0,PRITAM_JIT#5358,PRITAM_JIT,Computer ( Java Edition ),Cracked
300,17.0,MYSTERICGAMER#9661,MYSTERICGAMER,Computer ( Java Edition ),Cracked
301,15.0,Nalin Kain #9782,Nalin2507,Computer ( Java Edition ),Cracked
302,19.0,Punjabi Sher#2267,DarshThePro,Computer ( Java Edition ),Cracked
303,15.0,@Shadow_Priyanshi#7335,ShadowPriyanshi,Mobile ( bedrock version ),Cracked
304,22.0,Susanth#9157,susanth6714,Computer ( Java Edition ),Cracked
305,12.0,Beast wala gamer Tarun#7030,Tarun501,Computer ( Java Edition ),Cracked
306,15.0,12bamboo#7086,12_bamboo,Computer ( Java Edition ),Cracked
307,14.0,vigneshLMAO#8913,vigneshLMAO,Computer ( Java Edition ),Cracked
308,15.0,@SpiritRoman #1912,SpiritRoman1234,Mobile ( bedrock version ),Cracked
309,14.0,@Shlok#7573,Warriorex,Computer ( Java Edition ),Cracked
310,17.0,@tanmay saxena#4225,TANMAY S,Computer ( Java Edition ),Cracked
311,18.0,@Rookie#4490,devprobs,Mobile ( bedrock version ),Paid Version
312,15.0,Shadow_Priyanshi,ShadowPriyanshi,Mobile ( bedrock version ),Cracked
313,16.0,VEGETA#0404,HAGODA_NAOOB,Computer ( Java Edition ),Cracked
314,13.0,bunnykiller777#2577,bunnykiller777,Computer ( Java Edition ),Cracked
315,21.0,pinak196766,pinak19,Computer ( Java Edition ),Cracked
316,17.0,@TRIGGERED BEAST#6577,Hrishabhop,Computer ( Java Edition ),Cracked
317,12.0,GAMERBOY99#7465,numnumnum12345,Computer ( Java Edition ),Cracked
318,14.0,Agamya is gaming#6331,Agamya27,Computer ( Java Edition ),Cracked
319,17.0,@GOTTACK#0000,GR8Gaming,Mobile ( bedrock version ),Cracked
320,16.0,Lord ARMAAN#6077,ARMAAN72006,Mobile ( bedrock version ),Paid Version
321,17.0,vedansh#4749,vedansh_4749,Computer ( Java Edition ),Cracked
322,15.0,Raghavgarg,Ggamer14,Computer ( Java Edition ),Cracked
323,16.0,SHIVAM ANURAGI#9424,shivam28ss,Computer ( Java Edition ),Cracked
324,17.0,SuperCrazy#1820,Crazy0073301,Computer ( Java Edition ),Cracked
325,13.0,VeNoM#5398,ItsVenom1912,Computer ( Java Edition ),Cracked
326,20.0,@KESHU#6879,MinerKESHU,Mobile ( bedrock version ),Cracked
